,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE MONTH,SALE YEAR
0,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6,C2,10009,5,0,5,1633.0,6440.0,1900,2,C2,6625000.0,7,2017
3,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,21,C4,10009,10,0,10,2272.0,6794.0,1913,2,C4,3936272.0,9,2016
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,55,C2,10009,6,0,6,2369.0,4615.0,1900,2,C2,8000000.0,11,2016
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,406,32,C4,10009,8,0,8,1750.0,4226.0,1920,2,C4,3192840.0,9,2016
172,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,391,19,S3,10009,3,1,4,1520.0,3360.0,1910,2,S3,3300000.0,11,2016
173,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,393,4,S4,10009,4,1,5,2201.0,5608.0,1900,2,S4,7215000.0,1,2017
174,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,394,5,S5,10009,5,1,6,1779.0,3713.0,1910,2,S5,4750000.0,4,2017
195,1,ALPHABET CITY,22 STORE BUILDINGS                         ,4,390,34,K4,10009,0,1,1,1218.0,3586.0,1899,4,K4,3700000.0,9,2016
206,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,771,52,A9,10011,1,0,1,1975.0,3855.0,1901,1,A9,7425000.0,12,2016
212,1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,1,769,49,S2,10011,2,1,3,2150.0,4978.0,1920,1,S2,7750000.0,4,2017
214,1,CHELSEA,03 THREE FAMILY DWELLINGS                  ,1,719,67,C0,10011,3,0,3,2469.0,3725.0,1901,1,C0,8300000.0,2,2017
218,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,722,6,C3,10011,4,0,4,2057.0,2890.0,1910,2,C3,5950000.0,10,2016
219,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,743,56,C5,10011,24,0,24,2307.0,4500.0,1900,2,C5,7375000.0,2,2017
220,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,745,63,C3,10011,4,0,4,2057.0,3042.0,1900,2,C3,8000000.0,2,2017
222,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25,C4,10011,9,0,9,1566.0,6330.0,1901,2,C4,1583840.0,8,2017
223,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25,C4,10011,9,0,9,1566.0,6330.0,1901,2,C4,416790.0,8,2017
224,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25,C4,10011,9,0,9,1566.0,6330.0,1901,2,C4,630370.0,8,2017
230,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,8,C7,10011,8,1,9,2581.0,7650.0,1920,2,C7,6450000.0,2,2017
231,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,790,9,C7,10011,15,1,16,2077.0,6335.0,1901,2,C7,5500000.0,2,2017
232,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,10,C7,10011,8,1,9,1952.0,5955.0,1920,2,C7,5750000.0,2,2017
233,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,63,C1,10011,8,0,8,2000.0,4100.0,1910,2,C1,3485000.0,12,2016
834,1,CHELSEA,14 RENTALS - 4-10 UNIT                     ,2A,769,69,S9,10011,4,2,6,2500.0,4447.0,1910,2,S9,8250000.0,12,2016
938,1,CHELSEA,22 STORE BUILDINGS                         ,4,716,2,K4,10011,0,1,1,1675.0,3909.0,1910,4,K4,8818181.0,11,2016
947,1,CHELSEA,23 LOFT BUILDINGS                          ,4,799,63,L8,10011,0,3,3,1852.0,3980.0,1920,4,L8,9174156.0,1,2017
951,1,CHELSEA,26 OTHER HOTELS                            ,4,753,33,H8,10001,0,1,1,2271.0,5260.0,1900,4,H8,4300000.0,7,2017
962,1,CHELSEA,38 ASYLUMS AND HOMES                       ,4,764,11,N2,10011,35,0,35,2496.0,5802.0,1920,4,N2,7995000.0,7,2017
1008,1,CHINATOWN,07 RENTALS - WALKUP APARTMENTS             ,2,164,28,C7,10013,11,3,14,2380.0,7946.0,1915,2,C7,8275000.0,11,2016
1078,1,CHINATOWN,22 STORE BUILDINGS                         ,4,162,47,K4,10013,1,3,4,892.0,1784.0,1920,4,K4,3000000.0,7,2017
1079,1,CHINATOWN,22 STORE BUILDINGS                         ,4,162,57,K4,10013,2,2,4,1360.0,3274.0,1920,4,K4,4350000.0,5,2017
1080,1,CHINATOWN,22 STORE BUILDINGS                         ,4,163,16,K4,10013,0,2,2,1098.0,2712.0,1915,4,K4,2700000.0,1,2017
1456,1,CLINTON,07 RENTALS - WALKUP APARTMENTS             ,2A,1060,158,C2,10019,5,0,5,2092.0,4120.0,1920,2,C2,7000000.0,7,2017
1785,1,CLINTON,41 TAX CLASS 4 - OTHER                     ,4,1061,45,Z9,10019,0,2,2,2510.0,336.0,1998,4,Z9,4700000.0,2,2017
1791,1,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,436,1,S2,10009,2,1,3,1200.0,3360.0,1900,1,S2,3000000.0,8,2017
1793,1,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,458,47,S2,10003,2,1,3,1280.0,5920.0,1899,1,S2,6800000.0,1,2017
1794,1,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,467,53,B9,10003,2,0,2,1275.0,2640.0,1899,1,B9,4000000.0,6,2017
1803,1,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS             ,2,442,11,C5,10003,21,0,21,2144.0,7495.0,1920,2,C5,5381394.0,9,2016
1804,1,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS             ,2,447,42,C1,10003,24,0,24,2425.0,7000.0,1900,2,C1,6354000.0,5,2017
1805,1,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS             ,2,447,43,C1,10003,24,0,24,2425.0,7000.0,1900,2,C1,6354000.0,5,2017
1814,1,EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS             ,2,463,27,C7,10003,11,1,12,1840.0,7692.0,1900,2,C7,8300000.0,10,2016
1917,1,EAST VILLAGE,14 RENTALS - 4-10 UNIT                     ,2A,435,1,S9,10009,4,2,6,1240.0,5080.0,1900,2,S9,5825000.0,3,2017
1956,1,EAST VILLAGE,22 STORE BUILDINGS                         ,4,457,32,K4,10003,2,1,3,2277.0,5794.0,1900,4,K4,4550000.0,2,2017
2998,1,FLATIRON,14 RENTALS - 4-10 UNIT                     ,2A,822,69,S4,10010,4,1,5,1392.0,5118.0,1910,2,S4,6625000.0,10,2016
3035,1,FLATIRON,23 LOFT BUILDINGS                          ,4,829,72,L9,10001,0,4,4,987.0,3780.0,1915,4,L9,4650000.0,5,2017
3059,1,GRAMERCY,02 TWO FAMILY DWELLINGS                    ,1,873,31,S2,10003,2,1,3,2300.0,6720.0,1920,1,S2,5300000.0,8,2017
3060,1,GRAMERCY,02 TWO FAMILY DWELLINGS                    ,1,882,14,B3,10010,2,0,2,1407.0,3080.0,1910,1,B3,3700000.0,8,2017
3061,1,GRAMERCY,02 TWO FAMILY DWELLINGS                    ,1,899,38,B9,10003,2,0,2,1750.0,3880.0,1901,1,B9,7350000.0,11,2016
3062,1,GRAMERCY,02 TWO FAMILY DWELLINGS                    ,1,900,55,B1,10003,2,0,2,1619.0,2520.0,1910,1,B1,7000000.0,4,2017
3071,1,GRAMERCY,07 RENTALS - WALKUP APARTMENTS             ,2A,898,7,C9,10003,4,1,5,2116.0,6932.0,1920,2,C9,8700000.0,12,2016
3477,1,GRAMERCY,14 RENTALS - 4-10 UNIT                     ,2A,873,36,S3,10003,3,1,4,2300.0,6808.0,1920,2,S3,7700000.0,12,2016
3533,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,525,34,S1,10012,1,1,2,1350.0,5807.0,1900,1,S1,9999999.0,11,2016
3540,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,575,124,A5,10011,1,0,1,1996.0,3200.0,1901,1,A5,9500000.0,7,2017
3542,1,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,542,46,S2,10012,2,1,3,1580.0,3902.0,1901,1,S2,5250000.0,1,2017
4049,1,GREENWICH VILLAGE-CENTRAL,14 RENTALS - 4-10 UNIT                     ,2A,526,61,S4,10012,4,1,5,2140.0,5040.0,1900,2,S4,9167000.0,4,2017
4153,1,GREENWICH VILLAGE-CENTRAL,22 STORE BUILDINGS                         ,4,556,21,K4,10003,0,2,2,1852.0,5003.0,1901,4,K4,9300000.0,10,2016
4171,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,584,31,A4,10014,1,0,1,1640.0,2400.0,1901,1,A4,7800000.0,8,2017
4172,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,585,69,A5,10014,1,0,1,384.0,1152.0,1901,1,A5,1375000.0,10,2016
4174,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,606,28,S1,10011,1,1,2,925.0,2337.0,1910,1,S1,4065000.0,8,2017
4179,1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,625,39,S1,10014,1,1,2,757.0,1854.0,1900,1,S1,5550000.0,7,2017
4180,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,527,92,S2,10014,2,1,3,1750.0,3480.0,1900,1,S2,6800000.0,11,2016
4181,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,604,7,S2,10014,2,1,3,1368.0,4200.0,1920,1,S2,9750000.0,4,2017
4182,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,607,44,S2,10011,2,1,3,1200.0,2680.0,1910,1,S2,5570000.0,1,2017
4183,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,611,74,B2,10014,2,0,2,1606.0,4538.0,1920,1,B2,9600000.0,8,2017
4185,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,619,19,B9,10014,2,0,2,943.0,2684.0,1899,1,B9,3950000.0,8,2017
4187,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,622,19,S2,10014,2,1,3,950.0,2334.0,1901,1,S2,8900000.0,9,2016
4188,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,623,36,B1,10014,2,0,2,840.0,2160.0,1899,1,B1,7000000.0,3,2017
4189,1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,635,24,B3,10014,2,0,2,1672.0,3700.0,1899,1,B3,7400000.0,1,2017
4199,1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2A,588,32,C2,10014,5,0,5,2171.0,3524.0,1900,2,C2,313000.0,5,2017
4200,1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2A,609,163,C3,10011,4,0,4,2395.0,2395.0,1915,2,C3,6500000.0,6,2017
4206,1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2B,612,68,C1,10014,10,0,10,2090.0,4884.0,1910,2,C1,7500000.0,2,2017
4208,1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2,614,9,C4,10014,11,0,11,1825.0,7145.0,1900,2,C4,6260000.0,3,2017
4213,1,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2B,621,76,C5,10014,7,0,7,1905.0,4040.0,1910,2,C5,9000000.0,12,2016
4784,1,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,4,589,40,K4,10014,0,2,2,4067.0,4550.0,1920,4,K4,6800000.0,8,2017
4785,1,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,4,611,69,K4,10014,2,1,3,2090.0,4224.0,1880,4,K4,6856750.0,9,2016
4800,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,1942,58,A4,10030,1,0,1,1549.0,3036.0,1910,1,A4,2300000.0,11,2016
4801,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,1960,41,A9,10030,1,0,1,1665.0,3200.0,1910,1,A9,1510000.0,1,2017
4804,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2024,50,A5,10030,1,0,1,1699.0,3620.0,1910,1,A5,3050000.0,1,2017
4805,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2041,126,A9,10030,1,0,1,1699.0,3536.0,1901,1,A9,1595790.0,8,2017
4806,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2042,28,A9,10030,1,0,1,1488.0,3951.0,1899,1,A9,2200000.0,3,2017
4807,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2042,29,A9,10030,1,0,1,1431.0,3591.0,1899,1,A9,2100000.0,7,2017
4808,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2050,19,A4,10031,1,0,1,2000.0,3371.0,1899,1,A4,3200000.0,8,2017
4809,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2050,74,A4,10031,1,0,1,1900.0,4122.0,1899,1,A4,3535000.0,3,2017
4811,1,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,2051,62,A4,10030,1,0,1,2000.0,3360.0,1899,1,A4,1000000.0,9,2016
4813,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1720,62,B9,10027,2,0,2,2220.0,5138.0,1899,1,B9,1386200.0,3,2017
4815,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1727,45,B9,10037,2,0,2,2498.0,3000.0,1909,1,B9,3750000.0,6,2017
4816,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1754,59,B3,10037,2,0,2,1686.0,3416.0,1900,1,B3,2450000.0,1,2017
4817,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1754,116,B1,10035,2,0,2,1231.0,3240.0,1899,1,B1,1550000.0,3,2017
4818,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1902,40,B1,10026,2,0,2,1615.0,3328.0,1998,1,B1,2800000.0,11,2016
4819,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1903,155,B2,10026,2,0,2,1817.0,5004.0,1900,1,B2,3500000.0,2,2017
4821,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1915,34,S2,10037,2,1,3,2377.0,4002.0,1910,1,S2,3650000.0,2,2017
4823,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1937,52,B1,10027,2,0,2,1799.0,3600.0,1899,1,B1,1670000.0,2,2017
4824,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1937,52,B1,10027,2,0,2,1799.0,3600.0,1899,1,B1,1310000.0,11,2016
4825,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1937,123,B3,10027,2,0,2,1665.0,3460.0,1914,1,B3,2175000.0,6,2017
4827,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1941,59,B3,10030,2,0,2,1749.0,2625.0,1910,1,B3,850000.0,3,2017
4828,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1942,16,B1,10030,2,0,2,1599.0,3200.0,1899,1,B1,2000000.0,12,2016
4829,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1949,7,B3,10027,2,0,2,1615.0,3840.0,1899,1,B3,500000.0,12,2016
4832,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1950,7,B3,10027,2,0,2,1598.0,2340.0,1899,1,B3,2460000.0,5,2017
4834,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2024,62,B2,10030,2,0,2,1699.0,4000.0,1910,1,B2,2950000.0,9,2016
4835,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2041,28,B9,10030,2,0,2,1472.0,3400.0,1901,1,B9,1550000.0,9,2016
4836,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2042,124,B1,10030,2,0,2,1499.0,3000.0,1899,1,B1,1625000.0,4,2017
4837,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2050,101,B1,10031,2,0,2,756.0,4320.0,1901,1,B1,3450000.0,3,2017
4838,1,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,2050,103,B9,10031,2,0,2,1343.0,3400.0,1899,1,B9,2000000.0,6,2017
4840,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1717,67,C0,10026,3,0,3,1615.0,3328.0,1909,1,C0,1730000.0,5,2017
4843,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1723,56,C0,10027,3,0,3,1998.0,3054.0,1910,1,C0,2685000.0,9,2016
4849,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1751,147,C0,10035,3,0,3,1873.0,3046.0,1909,1,C0,2505000.0,3,2017
4850,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1754,14,C0,10035,3,0,3,1699.0,2852.0,1900,1,C0,1980000.0,9,2016
4851,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1828,122,C0,10026,3,0,3,1817.0,3600.0,1910,1,C0,3250000.0,12,2016
4855,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,3,C0,10027,3,0,3,1699.0,2646.0,1910,1,C0,2390000.0,8,2017
4856,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,4,C0,10027,3,0,3,1699.0,2596.0,1910,1,C0,60000.0,6,2017
4857,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,19,C0,10027,3,0,3,2495.0,3335.0,2000,1,C0,2200000.0,10,2016
4858,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,20,C0,10027,3,0,3,1665.0,3332.0,1910,1,C0,2675000.0,12,2016
4859,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1916,10,C0,10027,3,0,3,1699.0,3400.0,1910,1,C0,1925000.0,6,2017
4860,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1917,19,C0,10027,3,0,3,1699.0,3400.0,1910,1,C0,1700000.0,1,2017
4862,1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1918,159,C0,10030,3,0,3,1824.0,3320.0,2000,1,C0,1920000.0,7,2017
4873,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1718,119,C3,10026,4,0,4,1682.0,2700.0,1909,2,C3,1320000.0,2,2017
4874,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1718,119,C3,10026,4,0,4,1682.0,2700.0,1909,2,C3,180000.0,2,2017
4879,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1725,28,C5,10027,5,0,5,1799.0,4603.0,1909,2,C5,842500.0,2,2017
4881,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1726,22,C3,10027,4,0,4,1249.0,2058.0,1910,2,C3,1431326.0,8,2017
4882,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1727,37,C3,10035,4,0,4,1271.0,5167.0,1910,2,C3,2125000.0,5,2017
4885,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1749,5,C9,10035,4,0,4,2018.0,2994.0,1900,2,C9,1100000.0,1,2017
4888,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1749,107,C2,10035,6,0,6,2018.0,2994.0,1910,2,C2,2150000.0,11,2016
4889,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1750,66,C5,10035,7,0,7,1873.0,2919.0,1909,2,C5,1500000.0,12,2016
4890,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1751,50,C3,10035,4,0,4,1444.0,4408.0,1930,2,C3,2675000.0,5,2017
4891,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1751,56,C3,10035,4,0,4,1700.0,4400.0,1909,2,C3,2597000.0,8,2017
4892,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1753,63,C9,10035,4,0,4,1848.0,2585.0,1900,2,C9,3250000.0,4,2017
4893,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1754,46,C3,10037,4,0,4,2498.0,7230.0,1900,2,C3,2450000.0,9,2016
4894,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1754,57,C3,10035,4,0,4,1231.0,4140.0,1910,2,C3,2165000.0,4,2017
4900,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1772,150,C1,10035,8,0,8,2153.0,3424.0,1900,2,C1,1506000.0,12,2016
4901,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1821,19,C4,10026,9,0,9,1413.0,3750.0,1900,2,C4,2000000.0,3,2017
4902,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1827,144,C5,10026,8,0,8,1716.0,3213.0,1890,2,C5,1300000.0,5,2017
4903,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1902,37,C3,10026,4,0,4,1716.0,2550.0,1910,2,C3,2298307.0,5,2017
4904,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1903,147,C3,10026,4,0,4,2018.0,3668.0,1929,2,C3,2795000.0,3,2017
4909,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1907,27,C5,10027,7,0,7,1917.0,3806.0,1910,2,C5,1900000.0,9,2016
4911,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1908,163,C7,10027,11,1,12,1500.0,5200.0,1910,2,C7,925000.0,12,2016
4912,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1911,13,C3,10027,4,0,4,1682.0,4070.0,1910,2,C3,2820000.0,10,2016
4913,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1911,14,C5,10027,11,0,11,1499.0,2286.0,1910,2,C5,3003837.0,2,2017
4914,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,1,1911,148,B1,10027,2,0,2,1557.0,2343.0,1910,2,C3,2525000.0,10,2016
4915,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1913,25,C4,10027,4,0,4,2498.0,4800.0,1910,2,C4,3760000.0,11,2016
4916,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1914,56,C5,10027,8,0,8,1873.0,2700.0,1910,2,C5,1575000.0,9,2016
4917,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1914,144,C5,10027,4,0,4,1665.0,2497.0,1910,2,C5,1600000.0,3,2017
4918,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1914,146,C5,10027,11,0,11,1749.0,2625.0,1910,2,C5,20000.0,9,2016
4919,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1915,25,C2,10027,6,0,6,1998.0,3025.0,1939,2,C2,1525000.0,3,2017
4920,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1915,116,C2,10027,5,0,5,1665.0,3334.0,1910,2,C2,2000000.0,5,2017
4927,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1937,145,C5,10027,11,0,11,1499.0,2250.0,1910,2,C5,725000.0,3,2017
4928,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1937,148,C5,10027,7,0,7,1682.0,2561.0,1910,2,C5,530000.0,3,2017
4932,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1940,12,C5,10030,11,0,11,1499.0,2025.0,1910,2,C5,3350000.0,5,2017
4934,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1940,114,C5,10030,11,0,11,1499.0,2025.0,1910,2,C5,1339325.0,5,2017
4935,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1940,124,C5,10030,7,0,7,1699.0,2550.0,1910,2,C5,1365000.0,10,2016
4938,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1941,159,C3,10030,4,0,4,1665.0,4290.0,1910,2,C3,2100000.0,5,2017
4939,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1942,10,C2,10030,6,0,6,1599.0,2400.0,1910,2,C2,1300000.0,2,2017
4941,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1942,15,C5,10030,11,0,11,1699.0,2550.0,1910,2,C5,200000.0,5,2017
4942,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1942,15,C5,10030,11,0,11,1699.0,2550.0,1910,2,C5,62500.0,2,2017
4943,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1942,55,C5,10030,7,0,7,1799.0,3213.0,1910,2,C5,2060000.0,3,2017
4944,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1942,158,C3,10030,4,0,4,1549.0,3796.0,1983,2,C3,3205500.0,3,2017
4945,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1943,14,C3,10026,4,0,4,900.0,2880.0,1901,2,C3,2100000.0,11,2016
4946,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1949,59,C5,10027,9,0,9,1615.0,2973.0,1900,2,C5,1193000.0,11,2016
4947,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1953,25,C5,10027,10,0,10,1700.0,2736.0,1910,2,C5,1655000.0,1,2017
4954,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,2025,20,C2,10030,6,0,6,1815.0,4034.0,1920,2,C2,1625000.0,11,2016
4981,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,2041,30,C3,10030,4,0,4,1608.0,4611.0,1920,2,C3,2495000.0,11,2016
4988,1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,2050,49,C5,10031,4,1,5,1599.0,3950.0,1910,2,C5,2081235.0,1,2017
